Id,NameId,Name,Text,Traslate,NameTranslate,Notes
5,4,曜子,「時間切れね」,,,
7,6,春希,「え…」,,,
9,8,曜子,"「美代ちゃん、事務所に戻ったら関係各所に連絡。
あと記者会見のセッティングもお願い」",,,
11,10,美代子,「社長…？」,,,
13,12,曜子,"「せっかく退院したことだしわたしが出るわ…
『冬馬かずさ追加公演』の中止発表」",,,
15,14,春希,「曜子さん…」,,,
16,,,"三度目の入院をようやく終え、
三度目の退院を果たした曜子さんは…",,,
17,,,"病院から事務所へ移動する時間も惜しむように、
一つの決断を下そうとした。",,,
19,18,曜子,"「一週間前…
ちょっと遅すぎたかもしれないけど、
せめてお客さんの損害だけは最小限に食い止めないとね」",,,
21,20,美代子,"「そんな…
待ってください社長！」",,,
22,,,"…工藤さんも俺も、心の底で恐れつつ、
ずっと避け続けていた決断を。",,,
24,23,曜子,"「これ以上待ったらあなたが一番大変なのよ？
今だってかなり無理してもらってるのに」",,,
26,25,美代子,"「で、でも！
まだナイツの小木曽さんが頑張ってます！
彼女、本当に一生懸命に…」",,,
28,27,曜子,"「…それはわかってるわ。
彼女に託すって決めたのはわたしだもの」",,,
30,29,美代子,"「今だって毎日欠かさず来てくれてます。
おかげでかずささんだって少しずつ練習を再開して…」",,,
32,31,曜子,"「でも未だに“やる”って言ってない。
追加公演も、ＣＤの収録も」",,,
34,33,美代子,「それは…」,,,
36,35,曜子,"「彼女の努力は認めるけれど、
もう、物理的にデッドラインまで来ちゃったのよ。
これ以上、我を通せないわ」",,,
38,37,美代子,「………」,,,
39,,,"その決定は多分、過熱気味のマスコミに冷や水を浴びせ、
にわかファンたちを大いに落胆させることになるだろう。",,,
40,,,"凱旋帰国の空気は一変し、冬馬家を取り巻く環境は、
曜子さんが日本を追われた頃のように厳しくなるだろう。",,,
41,,,ただ、それでも曜子さんがこの決断に至ったのは…,,,
43,42,曜子,"「大丈夫よ…
また、這い上がりましょう？」",,,
45,44,美代子,「社長…っ」,,,
46,,,自分の娘の才能を信じているから、だろうか？,,,
47,,,"必ず再起できるって。
この程度のスキャンダルで潰されるような
半端な実力ではないって。",,,
48,,,それとも…,,,
50,49,曜子,"「そういうわけで…
ごめんなさい、ギター君。
これ以上は、わたしの会社が保たないわ」",,,
52,51,春希,「曜子さん…」,,,
53,,,諦めてしまったんだろうか…,,,
55,54,曜子,"「恨んでないし、責めるつもりもない。
…ううん、感謝してる。
最後まで、あのバカ娘に付き合ってくれて」",,,
56,,,"娘の、ピアニストとしての未来が続いていくことに
確信を持てなくなってしまったんだろうか…",,,
57,,,自分の命の灯と同様に…,,,
59,58,曜子,"「雪菜さんに連絡取ってくれる？
…後はわたしが話すから」",,,
61,60,春希,「必要ありません」,,,
63,62,曜子,「ギター君…」,,,
64,,,"だとしたら俺は、
そんな枯れきった決断をあっさり飲むわけにはいかない。",,,
66,65,春希,"「もう少し…あと一日だけ待ってください。
絶対に何とかなりますから」",,,
67,,,昨日、雪菜から届いたメールの文章の勢いが…,,,
68,,,"今日、メールが届かないことが。
会社にも顔を出していないことが…",,,
70,69,曜子,"「今から頑張ったって無理よ。
プログラムの曲、一つも練習してないのに、
あとたった一週間で…」",,,
71,,,そんな激動と混乱を思わせる状況が…,,,
73,72,春希,"「一週間、寝ずに頑張ればまだ間に合います。
…あなただって全盛期はそうしたでしょ？」",,,
74,,,"まるで状況のわかっていない俺に、
不安とともに、けれど強い勇気を与えてくれる。",,,
75,,,"雪菜は戦ってるんだって。
まだ、全然諦めていないんだって。",,,
77,76,曜子,"「そこまで言って、
それでもあの子が弾けなかったらどうするの？
あなたが責任取ってくれるの？」",,,
79,78,春希,"「取れません。
俺、あなたの会社の人間じゃないので」",,,
81,80,曜子,"「ならあなたが何とかしてくれるの？
かずさが弾くように必ず説得できるの？」",,,
83,82,春希,"「できません。
それは俺の役目じゃないので」",,,
85,84,曜子,「………完全に開き直ったわねこのコ」,,,
86,,,だったら、雑音は全て俺がせき止める。,,,
87,,,"雪菜が、全神経をかずさに集中できるように。
かずさが、雪菜の干渉から逃げられないように。",,,
88,,,"二人が…最後の最後まで
思い切りぶつかり合えるように。",,,
89,,,………,,,
91,90,かずさ,「………」,,,
93,92,雪菜,「………」,,,
95,94,かずさ,「今、何時かな？」,,,
97,96,雪菜,「ん…そろそろ２時」,,,
99,98,かずさ,「練習…サボっちゃった」,,,
101,100,雪菜,「わたしなんか会社サボっちゃった」,,,
103,102,かずさ,"「今からでも…行けよ。
謝ってこいよ」",,,
105,104,雪菜,"「ん～、でも外寒そう。
なんかベッドから出たくないな～」",,,
107,106,かずさ,「………あたしもだ」,,,
109,108,雪菜,"「そっか、ならさ…
今日は、このままサボっちゃおっか。
ずっとベッドの中で、二人きりで」",,,
111,110,かずさ,「別に…構わないけどな」,,,
113,112,曜子,"「責任も取らない、説得もしない…
それで、わたしが納得するとでも思ってるの？」",,,
115,114,春希,"「ええ、何しろ失敗しません。
だから、リスクも計算しません」",,,
117,116,曜子,「あなた…」,,,
118,,,"責任なんか取らない。
後のことなんか考えない。",,,
119,,,だって、そんなもの必要ない。,,,
121,120,春希,"「ただ…
かずさが“やる”って決めた後は、
全部俺に任せてください」",,,
122,,,雪菜は、絶対にかずさを立ち直らせてくれる。,,,
123,,,かずさは、絶対に立ち直ってくれる。,,,
124,,,"そして俺は…
自分の立てた計画を、絶対に成し遂げる。",,,
126,125,春希,"「コンサートもＣＤも、
必ず期日通りになんとかしてみせます」",,,
127,,,だって、俺たち三人…,,,
128,,,"やる気になれば何でもできるってことは、
五年前に証明済みだ。",,,
130,129,曜子,"「今日の２４時までに、
あの子をわたしの目の前に連れて来なさい。
そして…美代ちゃんに土下座させなさい」",,,
132,131,美代子,「社長っ」,,,
134,133,曜子,"「そこを過ぎたら、各方面に中止の連絡を飛ばす。
いいわね？」",,,
136,135,春希,「………それで十分です」,,,
137,,,"今度こそ…
最後の賽が投げられた。",,,
138,,,………,,,
139,,,……,,,
140,,,…,,,
142,141,かずさ,「………」,,,
144,143,雪菜,「………」,,,
146,145,かずさ,「いいのかな、こんなことしてて…」,,,
148,147,雪菜,「何が？」,,,
150,149,かずさ,"「コンサートまであと一週間切ったのに、
本当に大丈夫なのかな…」",,,
152,151,雪菜,"「ああ、そのこと…
別に、今は何も気にしなくていいよ」",,,
154,153,かずさ,"「今は…って。
お前、今が一体いつだと…」",,,
