Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
5,4,孝宏,「あれ？　北原さん」,,,
7,6,春希,「あ…」,,,
8,,,"道を譲ろうとした自転車が急に止まったかと思うと、
聞き覚えのある声が俺を呼んだ。",,,
10,9,孝宏,"「なに？　どうしたの今日は？
ウチに用？」",,,
12,11,春希,「孝宏君こそ、こんな時間から出かけるの？」,,,
13,,,"けれど、それは奇跡と呼ぶには値しない、
ちょっとした偶然程度の出来事だった。",,,
14,,,"…何しろ、ここから小木曽家までは、
もう２００メートルも離れてないんだから。",,,
16,15,孝宏,"「それがさ、レイトショーのチケット二枚もらったんだ。
友達と見ようって約束してた奴だったし、
今日は舞台挨拶もあるって言うから渡りに船でさ」",,,
18,17,春希,「へぇ、もらったんだ？」,,,
20,19,孝宏,"「ああ、母さんから。
知り合いにこの映画館の株主がいるらしくてさ」",,,
22,21,春希,「そう…」,,,
23,,,"そして、孝宏君が今この時間に外にいる理由も、
偶然でも奇跡でもなかった。",,,
24,,,人払い、だ。,,,
26,25,孝宏,"「ウチ来ても姉ちゃんいないよ？
一時間くらい前に柳原さんが来て一緒に出かけた」",,,
28,27,春希,「そうなんだ…」,,,
29,,,しかも、本人まで…か。,,,
31,30,孝宏,"「おっかしいなぁ。
今日、会う約束してた？」",,,
33,32,春希,"「いや…違うよ。
今日は<R小木曽家|きみんち>に行くんじゃないんだ。
この先に別の用があるだけで」",,,
35,34,孝宏,「ふぅん？」,,,
36,,,"俺に気を使ってくれてるのか。
…お母さんの配慮かな。",,,
38,37,孝宏,"「あ、そういえばさ…
北原さんに会ったからついでに聞いちゃうけど」",,,
40,39,春希,「ん？　なに？」,,,
42,41,孝宏,「最近、姉ちゃんと喧嘩でもした？」,,,
44,43,春希,「…どうして、そう思うのかな？」,,,
45,,,それは、十分に予想された質問だった。,,,
47,46,孝宏,"「だってさ、最近変なんだよ。
仕事から帰ってきたらすぐ部屋に引きこもっちゃうし、
食事も外で済ませてきてリビングには顔出さないし」",,,
48,,,"そして、孝宏君の口から語られる雪菜の現状も、
十分に予想できるものだった。",,,
50,49,孝宏,"「一昨日なんか、廊下で顔合わせたのに、
なんか避けるように部屋に逃げ込むんだぜ？」",,,
51,,,"雪菜がそういう状態にあるということも、
孝宏君がそのことに気づいているということも。",,,
53,52,孝宏,"「いい加減俺も腹立って何度も部屋ノックしたらさ、
これ見よがしに鍵掛ける音がしてさ」",,,
55,54,春希,「………」,,,
57,56,孝宏,"「…なるほど、やっぱり心当たりあるんだ。
そうやって黙り込んじゃうところを見るとさ」",,,
59,58,春希,「…かなわないな、君には」,,,
60,,,"本当に、かなわない。
小木曽家の、家族を愛する気持ちには。",,,
61,,,"誰もが皆、お互いのことを気に掛けて、
ほんのちょっとした異常にもすぐ目が行き届き、
そして、相手のために理屈抜きで力になろうとする。",,,
62,,,"北原家には存在せず、
冬馬家では一方通行気味の、
そんな、微笑ましくも骨太な愛情。",,,
64,63,孝宏,"「何やってんだよ北原さん。
ついこの間婚約したばっかでさぁ」",,,
66,65,春希,「…そうだね」,,,
67,,,"もう少しで俺は、
この温かい家族の中に迎え入れてもらうはずだった。",,,
68,,,"雪菜の指に光る宝石は、
俺のそんな未来を照らす輝きになるはずだった。",,,
70,69,孝宏,"「ちゃんと早く仲直りしといてくれよ？
いい加減、ウチの雰囲気悪いんだよね～」",,,
72,71,春希,「…ごめん」,,,
73,,,"なのに、ごめん。
本当に、ごめん。",,,
75,74,孝宏,"「だからぁ、謝らなくてもいいってば。
ちゃんと態度で示してくれればさ…」",,,
77,76,春希,"「あ…悪い。
そろそろ行かないと」",,,
78,,,"それは、もう…
俺が、謝る以外で君たちにできることは、もう…",,,
80,79,孝宏,「あ、ああ…じゃあね」,,,
82,81,春希,「うん…楽しんでおいで」,,,
83,,,………,,,
84,,,"孝宏君は出かけていった。
そして、雪菜も不在。",,,
85,,,小木曽家で俺を待っているのは、二人だけ。,,,
86,,,"つまりそれは、自分たちの子供には見せたくない場面も…
聞かせたくない話も辞さないという意志なのかもしれない。",,,
88,87,雪菜,「………ねぇ、朋」,,,
90,89,朋,「ん～？」,,,
92,91,雪菜,「さっきから、どうして何も言わないの？」,,,
94,93,朋,「何も…って？」,,,
96,95,雪菜,"「人を無理やり外に連れ出したかと思ったら、
ずっとお茶飲んでぼうっとしてるだけ」",,,
98,97,朋,「暇だったからね」,,,
100,99,雪菜,"「そんなはずないよね？
いつもの朋なら、少しでも時間が空いたら
エステかトレーニングじゃない」",,,
102,101,朋,「…たまには何もしたくない週末もあるって」,,,
104,103,雪菜,"「わたしのこと、気にしてくれたんだよね。
先週のこと、心配してくれたんだよね」",,,
106,105,朋,「…何のことかなぁ」,,,
108,107,雪菜,"「この前はごめんね…
恥ずかしいところ見せちゃって」",,,
110,109,朋,"「謝る必要なんかないよ。
だってわたしは、雪菜の味方で、友達で…」",,,
112,111,雪菜,"「ありがとう…
でも、わたし大丈夫だから。
これからも頑張るって決めたから」",,,
114,113,朋,「え…？」,,,
116,115,雪菜,"「だから、あんな恥ずかしいことしておいてなんだけど、
忘れて欲しいんだ、あの時のこと」",,,
118,117,朋,「忘れる…って」,,,
120,119,雪菜,"「さっき朋『何のことかな』って言ってくれたよね？
だから、難しいことじゃないよね」",,,
122,121,朋,「………」,,,
124,123,雪菜,"「わたしは泣いてなかった。
そもそも、泣くようなことなんか何もなかった」",,,
126,125,朋,「雪菜…？」,,,
128,127,雪菜,"「確かに、少しヘコむことがあったのは本当だけど、
でも今までだって、何度もこういうことあった。
…何度も切り抜けてきたんだよ」",,,
130,129,朋,「それは…」,,,
132,131,雪菜,"「だから今度も頑張る！　一生懸命頑張る！
ずっとそうやって一緒に歩いてきたんだもん…
今度だって、絶対に大丈夫だよ！」",,,
134,133,朋,"「っ…雪菜、やめようよ。
無理して強く振舞うの、やめようよ…」",,,
136,135,雪菜,"「無理じゃないよぉ。
だって、心を強く持てば報われないことはないって、
わたしに教えてくれたのは…」",,,
138,137,朋,"「そんなに、頑張らないでよ…
泣いていいんだよ…
雪菜は、傷ついていいんだ、今は」",,,
140,139,雪菜,「…なに、言ってるのよ」,,,
142,141,朋,"「もっと、弱い自分を見せてもいいんだよ。
わたしたちにも。
そして、彼にもさぁ」",,,
144,143,雪菜,"「違うよ…人に頼っちゃいけない。
これは、わたしの心の問題。
わたしが心を強く持ちさえすれば、絶対に解決する…」",,,
146,145,朋,"「今、雪菜がやるべき一番正しいことは、
北原さんにすがりつくことだよ！」",,,
148,147,雪菜,「だから違うよ」,,,
150,149,朋,"「なりふり構わないことだよ。カッコつけないことだよ。
自分のせいにしないことだよ。抱え込まないことだよ！」",,,
152,151,雪菜,「違うんだってば…」,,,
154,153,朋,"「行かないでって、絶対に別れないって、
本当の心のうち、話すことだよ！
彼にも、みんなにも！」",,,
156,155,雪菜,「っ…」,,,
158,157,朋,"「そうすれば、彼はきっと戻ってくる。
自分がどれだけ雪菜を傷つけてたかを思い知れば…
だって、責任感強い人だもん」",,,
160,159,雪菜,「………」,,,
162,161,朋,"「わたしたちも力貸すから…
絶対に、北原さんの気持ち、動かしてみせるから…」",,,
164,163,雪菜,「………余計なことしなくていいよ」,,,
166,165,朋,「え…」,,,
