Id,NameId,Name,Text,Traslate,NameTranslate,Notes
2,1,春希,"「っ！？
あ…れ？」",,,
3,,,またしても、顎が頬杖からかくんと外れ…,,,
4,,,そして周りの色が一変していることに気づいた。,,,
6,5,春希,「冬馬…？」,,,
7,,,"闇に覆われつつある音楽室は、ぼやけた視界とあいまって、
もう、ほとんど何も見えなくなっていた。",,,
8,,,"外から聞こえてくる同級生たちの喧騒も、
陽が沈むとともに、少しずつ静まってきてる。",,,
10,9,春希,「帰っちゃったか…」,,,
11,,,頭を振りつつ、意識が飛ぶ前の記憶を探る。,,,
12,,,"俺は確かに冬馬と一緒にいて、
俺たちのステージに対してのダメ出しと、
進路の話と、時候の挨拶と…",,,
13,,,………,,,
14,,,"もっと踏み込んだ話題があったはずだけど、
起き抜けの思考が追いついていかない。",,,
15,,,あの時、確かに俺は彼女に…,,,
17,16,？？？,「おはよ」,,,
19,18,春希,「っ！？」,,,
20,,,"そんなふうに、惚けたまま、
自分の言葉を反芻していたら…",,,
21,,,"突然、ささやくような、でも艶めかしい声が、
俺の顔に触る。",,,
23,22,？？？,"「おはよ春希くん。
そして、お疲れさま」",,,
25,24,春希,「雪菜…？」,,,
26,,,"…比喩じゃなくて、本当に息が顔に触れた。
それほど、至近距離だった。",,,
27,,,"膝立ちで、俺の視線の高さにぴったり合わせ、
薄暗がりの中、穴が開くほどに俺の顔を見つめてる。",,,
29,28,春希,「え、ええと…クラスの方は？」,,,
31,30,雪菜,"「とっくに終わったよ。
もうすぐ６時だもん」",,,
33,32,春希,"「…もうそんな時間なのか。
だいぶ寝てたなぁ」",,,
35,34,雪菜,"「そうだね。
わたしが来てからでも、３０分以上」",,,
37,36,春希,「起こしてくれよ…」,,,
39,38,雪菜,「嫌だよ」,,,
41,40,春希,"「そんなに気を使ってくれなくてもいいって。
だいたい、疲れてるのはお互い…」",,,
43,42,雪菜,"「そんなことしたら、
春希くんの寝顔がゆっくり楽しめないよ。
もったいない」",,,
45,44,春希,「な…っ！？」,,,
47,46,雪菜,「………」,,,
49,48,春希,「…冗談だよな？」,,,
51,50,雪菜,「………」,,,
53,52,春希,「冗談だって言ってくれよ」,,,
55,54,雪菜,「ふふっ」,,,
57,56,春希,"「だから！
からかったって言ってくれっての！」",,,
59,58,雪菜,「あはっ…や～だよ～だ」,,,
60,,,"それどころか、俺が目覚めても、
まだ俺の顔を見つめることをやめてくれないし。",,,
62,61,春希,"「ふあぁぁぁ～…つつつっ！
あ～、体のあちこちが痛い」",,,
63,,,椅子から立ち上がり、思い切り伸びをする。,,,
64,,,もちろん、照れ隠し以外の何物でもない。,,,
66,65,雪菜,"「頑張ったもんね今日。
ううん、今日だけじゃなくて、今週ずっと」",,,
68,67,春希,「そんなのは雪菜だって…あれ？」,,,
69,,,"と、その時になってやっと気づいたのが、
肩に掛けられている、暖かなコート。",,,
70,,,"ちょっと軽めで、
暗がりの中でもわかるくらいの赤系で、
そして、どう見ても男物じゃなくて。",,,
72,71,春希,「これ…雪菜が？」,,,
74,73,雪菜,"「お母さんが持ってきてくれてたんだ。
昨日、家に帰らなかったから、着替えだって」",,,
76,75,春希,「………まさに色々とごめん」,,,
77,,,"俺を気遣ってくれたこととか、
着替えが必要な原因を作ってしまったこととか。",,,
78,,,"…目の前の雪菜は、やっぱりステージ衣装のままで、
今の時間だと、見るからに寒そうなこととか。",,,
80,79,春希,"「返すよ。
…本当に悪い。こういうの男の役目なのに」",,,
82,81,雪菜,"「ううん。
春希くんは、十分男の子の役目、果たしたよ？」",,,
83,,,"コートを差し出すと、
雪菜は俺に、無防備に背中をさらす。",,,
84,,,"俺はなんとか理由を聞くことなく、
その肩に、ゆっくりコートをかけていく。",,,
86,85,雪菜,"「わたしに勇気をくれた。
あの高い場所で、たくさんの人に向かって、
それでも楽しく歌える勇気を」",,,
88,87,春希,「そんなこと…ないって」,,,
89,,,本当に勇気づけられたのは俺の方だし。,,,
90,,,"あの絶望的な状況で、
しかも諦めることが致命的でもない状況で、
ただ俺のワガママだけで突き進んでいた状況で。",,,
